Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,8.230000,8.230000,8.115000,8.120000,6.762979,8218400
2016-01-05,8.150000,8.200000,8.070000,8.100000,6.746321,7265800
2016-01-06,8.045000,8.150000,8.000000,8.035000,6.692183,7042000
2016-01-07,7.905000,8.140000,7.880000,8.030000,6.688020,7850400
2016-01-08,8.075000,8.180000,8.055000,8.085000,6.733828,8147400
2016-01-11,8.090000,8.195000,8.075000,8.125000,6.767143,9768000
2016-01-12,8.105000,8.360000,8.105000,8.285000,6.900403,11860800
2016-01-13,8.375000,8.490000,8.220000,8.230000,6.854594,16731800
2016-01-14,8.895000,9.035000,8.670000,8.925000,7.433446,23494600
2016-01-15,8.665000,8.800000,8.560000,8.660000,7.212734,12403400
2016-01-19,8.720000,8.775000,8.640000,8.740000,7.279364,12712200
2016-01-20,8.590000,8.765000,8.520000,8.710000,7.254377,15478000
2016-01-21,8.760000,9.005000,8.675000,8.935000,7.441773,13172600
2016-01-22,8.910000,9.000000,8.895000,8.950000,7.454269,6572400
2016-01-25,8.925000,8.965000,8.850000,8.905000,7.416787,7379000
2016-01-26,8.930000,8.975000,8.740000,8.760000,7.296021,10147800
2016-01-27,8.765000,8.870000,8.680000,8.710000,7.254377,12695600
2016-01-28,8.720000,8.770000,8.625000,8.650000,7.204402,5453400
2016-01-29,8.875000,9.005000,8.845000,8.955000,7.458432,9599600
2016-02-01,8.940000,8.940000,8.825000,8.885000,7.400131,7780000
2016-02-02,8.855000,8.950000,8.740000,8.780000,7.312678,6740800
2016-02-03,8.850000,8.885000,8.675000,8.825000,7.350157,7823800
2016-02-04,8.915000,8.945000,8.835000,8.920000,7.429282,6331800
2016-02-05,8.860000,8.880000,8.655000,8.675000,7.225227,7734400
2016-02-08,8.500000,8.550000,8.130000,8.275000,6.892074,20492000
2016-02-09,8.165000,8.245000,8.070000,8.170000,6.804623,16329200
2016-02-10,8.240000,8.370000,8.165000,8.175000,6.808786,8980000
2016-02-11,8.005000,8.130000,7.955000,8.105000,6.750484,14613000
2016-02-12,8.190000,8.230000,7.980000,8.050000,6.704677,8943200
2016-02-16,8.035000,8.145000,8.005000,8.105000,6.750484,21192800
2016-02-17,8.205000,8.265000,8.125000,8.240000,6.862923,31074000
2016-02-18,8.365000,8.375000,8.195000,8.205000,6.833773,14067600
2016-02-19,8.220000,8.245000,8.120000,8.195000,6.825443,10928800
2016-02-22,8.365000,8.505000,8.340000,8.445000,7.033664,12336800
2016-02-23,8.370000,8.435000,8.310000,8.325000,6.933718,8722000
2016-02-24,8.285000,8.430000,8.250000,8.420000,7.012842,8416200
2016-02-25,8.305000,8.455000,8.300000,8.435000,7.025336,8242400
2016-02-26,8.465000,8.480000,8.325000,8.445000,7.033664,7740600
2016-02-29,8.250000,8.470000,8.245000,8.410000,7.004512,10953400
2016-03-01,8.605000,8.745000,8.560000,8.710000,7.254377,7435000
2016-03-02,8.760000,8.900000,8.730000,8.840000,7.362651,11716600
2016-03-03,8.860000,9.110000,8.860000,9.090000,7.570871,10881200
2016-03-04,9.080000,9.235000,9.060000,9.220000,7.679146,7460800
2016-03-07,9.125000,9.245000,9.115000,9.205000,7.666653,4061000
2016-03-08,9.020000,9.030000,8.920000,8.960000,7.462598,6650000
2016-03-09,9.150000,9.150000,8.860000,8.920000,7.429282,9602800
2016-03-10,8.855000,8.995000,8.825000,8.885000,7.400131,11909600
2016-03-11,8.920000,8.985000,8.860000,8.980000,7.479254,6184000
2016-03-14,8.930000,9.060000,8.925000,9.010000,7.504242,6626400
2016-03-15,8.910000,8.930000,8.860000,8.875000,7.391803,5627600
2016-03-16,8.960000,9.095000,8.835000,9.090000,7.570871,5265000
2016-03-17,9.100000,9.170000,9.020000,9.165000,7.633335,5156400
2016-03-18,9.290000,9.305000,9.175000,9.260000,7.712459,5216600
2016-03-21,9.270000,9.385000,9.235000,9.340000,7.779091,6264400
2016-03-22,9.240000,9.320000,9.170000,9.255000,7.708297,6650000
2016-03-23,9.350000,9.350000,9.190000,9.330000,7.770762,8980000
2016-03-24,9.300000,9.415000,9.295000,9.405000,7.833229,6000200
2016-03-28,9.380000,9.400000,9.305000,9.375000,7.808241,4956400
2016-03-29,9.350000,9.430000,9.320000,9.345000,7.783255,8516600
2016-03-30,9.395000,9.660000,9.385000,9.580000,7.978981,10802800
2016-03-31,9.635000,9.635000,9.500000,9.510000,7.920678,6505400
2016-04-01,9.430000,9.665000,9.390000,9.625000,8.016461,6791800
2016-04-04,9.745000,9.745000,9.615000,9.625000,8.016461,4038200
2016-04-05,9.500000,9.500000,9.345000,9.405000,7.833229,6205400
2016-04-06,9.335000,9.410000,9.280000,9.400000,7.829064,7426200
2016-04-07,9.245000,9.255000,9.030000,9.055000,7.541720,10447200
2016-04-08,9.090000,9.100000,8.930000,9.025000,7.516735,8956800
2016-04-11,9.130000,9.195000,9.075000,9.085000,7.566707,4767600
2016-04-12,9.125000,9.150000,9.040000,9.100000,7.579200,6593200
2016-04-13,9.115000,9.210000,9.000000,9.175000,7.641665,12878200
2016-04-14,9.225000,9.260000,9.125000,9.225000,7.683310,11473400
